Кратк,Вид,Широт,Долго,Назва,Регио,Округ,icon_url
ПАО «Саратовский НПЗ»,"Медико-санитарная часть, в том числе центральная","51.461685","45.932747",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"Саратовский МНЦ гигиены ФБУН ""ФНЦ медико-профилактических технологий управления рисками здоровью населения""",Больница (в том числе детская),"51.475986","45.91336",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ООО ""РЕНЕССАНС-С""",Больница (в том числе детская),"51.524296","45.9974",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
ООО «Агидель»,"Амбулатория, в том числе врачебная","51.879353","45.01946",Аткарск,Саратовская область,Приволжский федеральный округ,./0.png
ООО «Медгард-Саратов»,Больница (в том числе детская),"51.54047","46.040806",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
"ООО ""НЕФРОЛОГИЧЕСКИЙ ЦЕНТР""",Больница (в том числе детская),"51.472195","46.157974",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ООО ""МЕДОСМОТР""","Амбулатория, в том числе врачебная","51.472076","46.157703",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ООО ""ДИАГНОСТИКА""","Амбулатория, в том числе врачебная","51.472076","46.157703",Энгельс,Саратовская область,Приволжский федеральный округ,./0.png
"ООО ""32 ЖЕМЧУЖИНЫ""","Амбулатория, в том числе врачебная","51.50742","45.93646",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
Филиал № 6 ФГБУ «3 ЦВКГ им. А. А. Вишневского» Минобороны России,Госпиталь,"52.289284","47.35825",Вольск-18,Саратовская область,Приволжский федеральный округ,./0.png
ООО «КЭРОС-ТОРГ»,"Амбулатория, в том числе врачебная","51.53657","46.021732",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
Филиал ООО «Газпром трансгаз Саратов» Медико-санитарная часть,"Медико-санитарная часть, в том числе центральная","51.581306","45.97193",Саратов,Саратовская область,Приволжский федеральный округ,./0.png
