Кратк,Субъе,Вид д�,Широт,Долго,Насел,Регио,Округ,icon_url
"ООО ""МЕДИЦИНСКАЯ ПРАКТИКА """,Кемеровская область,Больница (в том числе детская),"53.89826","86.642746",Прокопьевск,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-8» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","54.724663","86.18662",Ленинск-Кузнецкий,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-2» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","52.945503","87.972984",Шерегеш,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-1» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","56.214672","87.7038",Мариинск,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-3» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.429256","85.914",Мозжуха,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-4» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.415947","86.04189",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-6» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.322006","86.17365",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-7» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.740574","84.87156",Юрга,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-9» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.294277","85.98288",Кемерово,Кемеровская область,Сибирский федеральный округ,./0.png
филиал «МЧ-11» ФКУЗ МСЧ-42 ФСИН России,Кемеровская область,"Медико-санитарная часть, в том числе центральная","55.73888","84.929474",Юрга,Кемеровская область,Сибирский федеральный округ,./0.png
