Кратк,Регио,МО,Тип н�,Насел,Адрес,Широт,Долго,icon_url
"0",Кемеровская область,Промышленновский район,Деревня,Прогресс,"Россия, Кемеровская область, Промышленновский район, Деревня Прогресс, ул. Центральная, д. 29-2","55.057886","85.901864",./0.png
"0",Кемеровская область,Промышленновский район,Деревня,Пьяново,"Россия, Кемеровская область, Промышленновский район, Деревня Пьяново, ул. Коммунистическая, д. 115","54.756827","85.347439",./0.png
"0",Кемеровская область,Промышленновский район,Деревня,Портнягино,"Россия, Кемеровская область, Промышленновский район, Деревня Портнягино, ул. Школьная, д. 15","54.9303","85.308538",./0.png
"0",Кемеровская область,Чебулинский район,Село,Усманка,"Россия, Кемеровская область, Чебулинский район, Село Усманка, ул. Юбилейная, д. 31","56.12404","87.764358",./0.png
"0",Кемеровская область,Промышленновский район,Поселок,Цветущий,"Россия, Кемеровская область, Промышленновский район, Поселок Цветущий, ул. Центральная, д. 30","55.953284","87.413311",./0.png
"0",Кемеровская область,Промышленновский район,Деревня,Усть-Каменка,"Россия, Кемеровская область, Промышленновский район, Деревня Усть-Каменка, ул. Центральная, д. 19","54.897433","85.989757",./0.png
"0",Кемеровская область,Промышленновский район,Деревня,Ушаково,"Россия, Кемеровская область, Промышленновский район, Деревня Ушаково, ул. Лесная, д. 10","55.001979","85.188137",./0.png
"0",Кемеровская область,Чебулинский район,Деревня,Шестаково,"Россия, Кемеровская область, Чебулинский район, Деревня Шестаково, ул. Школьная, д. 13","55.894694","87.962288",./0.png
"0",Кемеровская область,Чебулинский район,Деревня,Новоказанка,"Россия, Кемеровская область, Чебулинский район, Деревня Новоказанка, ул. Молодежная, д. 8 - 2","56.105382","87.592367",./0.png
"0",Кемеровская область,Чебулинский район,Деревня,Дмитриевка,"Россия, Кемеровская область, Чебулинский район, Деревня Дмитриевка, ул. Новая, д. 1а","56.02998","87.90155",./0.png
"0",Кемеровская область,Чебулинский район,Село,Усть-Чебула,"Россия, Кемеровская область, Чебулинский район, Село Усть-Чебула, ул. Школьная, д. 5 - 6","56.029899","87.901534",./0.png
"0",Кемеровская область,Юргинский район,Село,Варюхино,"Россия, Кемеровская область, Юргинский район, Село Варюхино, ул. Угловая, д. 12 помещение 1","56.104505","84.893848",./0.png
"0",Кемеровская область,Чебулинский район,Село,Николаевка,"Россия, Кемеровская область, Чебулинский район, Село Николаевка, ул. Осипова, д. 3","55.88187","87.264523",./0.png
